ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
albans st -1	The squad have just 52 caps between them and 31 of those belong to the new captain , Andy Halliday of St Albans .
albert hall 1	If the region 's four are on top form , they could book a place on amateur boxing 's biggest night at the Royal Albert Hall .
albert museum 1	She always felt unnerved when she researched at the august Victoria and Albert Museum and became only too conscious of her lack of formal training .
albert prince -1	Ruth had seen fireworks only once ; at Barnswick 's own celebrations to mark the wedding of Queen Victoria and Prince Albert .
albert reynolds 1	IRISH Prime Minister Albert Reynolds last night called a general election after losing a confidence vote .
albert royal -1	If the region 's four are on top form , they could book a place on amateur boxing 's biggest night at the Royal Albert Hall .
albert uncle -1	Uncle Albert looked as if he did n't want to get involved .
alcohol excess -1	In a prosecution for an offence under section 5 of with excess alcohol in the blood the prosecution on the breath specimen in evidence .
alcoholic drinks 1	In hotels visitors may obtain alcoholic drinks outside the regulation hours for their own consumption in the hotel in which they are resident .
alcoholic non -1	Table III shows the proportions of cases of and non-alcoholic liver disease .
aldington lord -1	They claim the pamphlet is true , although they contest Lord Aldington 's interpretation of it .
ale real -1	WHY have you stopped giving details of local real ale in What 's Brewing ?
alec stewart 1	ALEC Stewart made light of being struck on the head by a stone during yesterday 's one-day international defeat at Gwalior .
alex ferguson 1	The England midfielder has been continually snubbed by manager Alex Ferguson this season .
alex household 1	Charles wondered if Alex Household had carried out his threat of feeding the wrong lines .
alexander technique 1	By practising the Alexander Technique feelings and thoughts can alter .
ali dr -1	He was beginning to find Dr Ali 's conversation even more disconcerting than his silence .
